Employee,Coachability,Curiosity,Work Ethic,Intelligence,Prior Success,Passion,Preparation,Adaptability to Change,Competitiveness,Brevity,Work Assessment
Rodrigo Soriano,4,3,5,5,8,1,9,3,7,2,Success
Marta Echávarri,4,8,6,10,1,4,7,8,5,5,Success
Miguel Angel Martín,7,5,4,3,6,5,8,9,7,7,Bad Performance
Antonio  Alamo,10,5,4,7,9,7,2,5,6,7,Success
María  Padial,4,2,3,8,3,7,10,3,4,7,Bad Performance
Irene López,4,3,6,2,4,7,9,2,6,5,Bad Performance
Guillermo Torres,3,8,10,2,10,4,10,10,2,4,Bad Performance
Eva Vergara,6,10,2,3,4,4,6,2,3,4,Success
Marta Pérez,6,10,5,1,1,8,8,4,8,4,Bad Performance
Cristina Castellano,9,10,8,8,5,2,8,2,2,5,Success
Guillermo López,5,5,8,4,5,1,9,6,6,7,Success
Noelia Moreno,5,7,4,1,4,4,4,4,7,5,Success
Cristina Ruiz,9,6,9,1,2,10,9,8,8,1,Bad Performance
Félix Sierra,7,8,1,4,10,5,6,2,10,6,Success
Marc Moreno,5,8,5,8,8,4,8,5,1,7,Bad Performance
Alberto Marcelo,8,2,1,6,2,8,5,7,5,10,Bad Performance
Juan Manuel Padilla,4,10,3,7,1,9,8,5,7,9,Success
Aurelio Becerra,7,7,7,4,9,3,4,1,5,9,Bad Performance
Jorge García,4,8,1,9,3,10,8,4,9,6,Bad Performance
Isaac Centeno,3,7,7,4,6,7,3,9,4,10,Bad Performance
Paula Lázaro,2,7,2,7,4,1,3,6,9,1,Bad Performance
Beatriz Álvarez,10,1,5,10,6,9,6,8,7,4,Success
Jose Farinheira,2,9,10,1,9,9,2,7,3,1,Bad Performance
Ana Merodio,10,10,6,9,3,3,9,7,6,1,Bad Performance
Tamara Vazquez,1,6,6,2,3,2,10,4,6,6,Bad Performance
Carlos Blázquez,1,2,6,3,3,6,6,6,1,4,Bad Performance
David Rivero,10,10,5,3,2,7,10,5,7,4,Bad Performance
Ana González-Penin,10,3,5,4,5,1,5,6,9,1,Bad Performance
Angel García,1,2,9,6,9,6,8,2,10,5,Success
Andreu Santamaria,4,8,9,10,9,8,9,5,9,3,Success
Ares Ollé,8,7,1,6,2,2,8,9,5,10,Bad Performance
Sergio Guerra,9,7,10,5,9,7,5,3,1,5,Success
Ibai Fernández,1,10,10,4,2,8,6,3,1,5,Bad Performance
Ignacio Urzainqui,1,9,6,3,6,9,2,1,8,2,Bad Performance
Tomas Castilla,2,3,7,8,3,9,4,9,2,6,Bad Performance
Raúl  Santamaria,6,4,4,6,6,1,7,9,10,5,Bad Performance
Alejandro Caro,8,1,7,8,1,3,6,7,1,3,Bad Performance
Joaquín Salinas,6,6,5,7,8,10,1,2,3,8,Success
Tamara Ferreira,6,1,5,2,4,6,5,2,2,10,Success
Margarita de Ruz,4,5,9,3,7,5,3,8,10,7,Success
